lat,lon,value
56.44458311,26.17041676,13.82275677
56.46124978,26.17041676,9.257259369
56.16124978,26.16208343,105.7976227
56.16958311,26.16208343,96.98835754
56.17791645,26.16208343,70.17523956
56.18624978,26.16208343,24.73334122
56.19458311,26.16208343,25.44848824
56.20291645,26.16208343,29.46176147
56.21124978,26.16208343,48.14309311
56.21958311,26.16208343,133.1666107
56.22791645,26.16208343,227.8100281
56.23624978,26.16208343,241.6321411
56.24458311,26.16208343,244.3978882
56.25291645,26.16208343,220.0001831
56.26124978,26.16208343,168.7837524
56.26958311,26.16208343,81.49970245
56.27791645,26.16208343,38.03046417
56.28624978,26.16208343,21.05562973
56.29458311,26.16208343,18.7809391
56.30291645,26.16208343,16.81910133
56.31124978,26.16208343,12.06369114
56.31958311,26.16208343,11.60028934
56.32791645,26.16208343,11.0079422
56.33624978,26.16208343,10.13976288
56.34458311,26.16208343,9.089279175
56.35291645,26.16208343,7.620371342
56.38624978,26.16208343,9.800071716
56.39458311,26.16208343,9.78904438
56.41124978,26.16208343,9.080388069
56.41958311,26.16208343,11.38101768
56.42791645,26.16208343,13.47409821
56.43624978,26.16208343,14.15276432
56.44458311,26.16208343,13.95857239
56.45291645,26.16208343,10.64749908
56.46124978,26.16208343,8.99011898
56.46958311,26.16208343,7.787386894
56.14458311,26.15375009,113.3135223
56.16124978,26.15375009,108.7902374
56.16958311,26.15375009,102.6593704
56.17791645,26.15375009,60.03280258
56.18624978,26.15375009,21.75413132
56.19458311,26.15375009,26.64906693
56.20291645,26.15375009,26.94510078
56.21124978,26.15375009,37.79470825
56.21958311,26.15375009,94.88687897
56.22791645,26.15375009,152.0650635
56.23624978,26.15375009,164.4080048
56.24458311,26.15375009,163.8186798
56.25291645,26.15375009,137.6945038
56.26124978,26.15375009,94.91905212
56.26958311,26.15375009,63.99422836
56.27791645,26.15375009,40.89050674
56.28624978,26.15375009,29.02690125
56.29458311,26.15375009,28.69888878
56.30291645,26.15375009,22.92980003
56.31124978,26.15375009,13.2602644
56.31958311,26.15375009,11.06817245
56.32791645,26.15375009,11.31241035
56.33624978,26.15375009,11.00376225
56.37791645,26.15375009,10.65682125
56.38624978,26.15375009,10.37009811
56.41124978,26.15375009,8.640568733
56.41958311,26.15375009,10.5806179
56.42791645,26.15375009,11.98366833
56.43624978,26.15375009,12.81818771
56.44458311,26.15375009,12.1704874
56.45291645,26.15375009,10.44636345
56.46124978,26.15375009,8.119493484
56.46958311,26.15375009,7.6962924
56.47791645,26.15375009,7.755897045
56.13624978,26.14541676,111.3502731
56.14458311,26.14541676,112.0118179
56.15291645,26.14541676,108.4332962
56.16124978,26.14541676,106.0894928
56.16958311,26.14541676,80.22083282
56.17791645,26.14541676,31.73131752
56.18624978,26.14541676,20.17521858
56.19458311,26.14541676,22.55344009
56.20291645,26.14541676,23.74074554
56.21124978,26.14541676,38.93608856
56.21958311,26.14541676,62.33288956
56.22791645,26.14541676,81.11666107
56.23624978,26.14541676,93.72615814
56.24458311,26.14541676,90.96529388
56.25291645,26.14541676,68.63647461
56.26124978,26.14541676,43.03943253
56.26958311,26.14541676,39.29321289
56.27791645,26.14541676,34.04959488
56.28624978,26.14541676,30.23826218
56.29458311,26.14541676,26.7260685
56.30291645,26.14541676,19.54094696
56.31124978,26.14541676,13.00529766
56.31958311,26.14541676,10.80674648
56.32791645,26.14541676,10.13599873
56.33624978,26.14541676,10.09867573
56.34458311,26.14541676,8.456115723
56.41958311,26.14541676,8.721399307
56.42791645,26.14541676,9.777403831
56.43624978,26.14541676,10.05004501
56.44458311,26.14541676,9.720608711
56.45291645,26.14541676,8.109605789
56.46124978,26.14541676,7.455255985
56.46958311,26.14541676,7.422343731
56.47791645,26.14541676,7.466605186
56.48624978,26.14541676,7.445828438
56.13624978,26.13708343,108.8316727
56.14458311,26.13708343,106.6016922
56.15291645,26.13708343,99.73278046
56.16124978,26.13708343,89.85120392
56.16958311,26.13708343,43.70050812
56.17791645,26.13708343,20.55540085
56.18624978,26.13708343,14.16533661
56.19458311,26.13708343,21.52745819
56.20291645,26.13708343,26.18123055
56.21124978,26.13708343,34.66277695
56.21958311,26.13708343,39.55850601
56.22791645,26.13708343,48.1548233
56.23624978,26.13708343,61.70726776
56.24458311,26.13708343,61.34358215
56.25291645,26.13708343,55.72184372
56.26124978,26.13708343,38.24975204
56.26958311,26.13708343,21.79353142
56.27791645,26.13708343,19.15991211
56.28624978,26.13708343,19.01823425
56.29458311,26.13708343,17.89314651
56.30291645,26.13708343,11.4268589
56.31124978,26.13708343,8.508045197
56.31958311,26.13708343,8.544239998
56.32791645,26.13708343,8.498785019
56.33624978,26.13708343,8.393083572
56.34458311,26.13708343,8.356642723
56.36958311,26.13708343,13.31799412
56.37791645,26.13708343,13.24346352
56.41958311,26.13708343,7.938661098
56.42791645,26.13708343,7.676720619
56.43624978,26.13708343,7.448334217
56.44458311,26.13708343,7.339948177
56.45291645,26.13708343,7.421469212
56.46124978,26.13708343,7.526437283
56.46958311,26.13708343,7.314656734
56.47791645,26.13708343,7.234727383
56.48624978,26.13708343,7.359492779
56.12791645,26.12875009,74.56302643
56.13624978,26.12875009,90.01830292
56.14458311,26.12875009,95.39321899
56.15291645,26.12875009,83.6115036
56.16124978,26.12875009,52.29685974
56.16958311,26.12875009,23.44801712
56.17791645,26.12875009,14.99648476
56.18624978,26.12875009,12.46923351
56.19458311,26.12875009,23.85390282
56.20291645,26.12875009,28.64445877
56.21124978,26.12875009,25.91320801
56.21958311,26.12875009,19.04246902
56.22791645,26.12875009,22.89949799
